delta1,delta2,delta3,delta4
0154,0044,0055,0054,
0156,0044,0052,0060,
0156,0044,0052,0060,
0151,0044,0052,0059,
0149,0042,0054,0056,
0149,0042,0054,0056,
0149,0042,0045,0056,
0149,0044,0045,0057,
0149,0044,0045,0057,
0146,0044,0053,0057,
0144,0039,0053,0055,
0144,0039,0053,0055,
0144,0039,0051,0055,
0140,0040,0051,0055,
0140,0040,0051,0055,
0140,0040,0053,0055,
0141,0043,0052,0056,
0141,0043,0052,0056,
0140,0046,0052,0055,
0132,0040,0052,0054,
0132,0040,0052,0054,
0132,0040,0051,0054,
0136,0041,0051,0054,
0136,0041,0051,0054,
0128,0041,0049,0054,
0120,0036,0049,0047,
0117,0036,0049,0047,
0100,0036,0049,0047,
0098,0029,0049,0045,
0084,0029,0049,0045,
