delta1,delta2,delta3,delta4
0061,0027,0035,0039,
0045,0027,0035,0039,
0045,0027,0035,0039,
0042,0027,0035,0039,
0042,0017,0031,0030,
0042,0017,0029,0030,
0039,0017,0029,0030,
0038,0017,0029,0030,
0038,0017,0030,0030,
0043,0020,0030,0029,
0043,0020,0030,0029,
0043,0020,0028,0029,
0047,0022,0028,0031,
0047,0022,0028,0031,
0047,0021,0029,0032,
0052,0021,0032,0034,
0052,0021,0032,0034,
0052,0024,0032,0034,
0053,0023,0030,0034,
0053,0023,0030,0034,
0056,0023,0019,0034,
0051,0022,0019,0032,
0051,0022,0020,0032,
0051,0022,0032,0032,
0055,0025,0035,0037,
0055,0025,0035,0037,
0055,0025,0034,0038,
0058,0022,0034,0033,
0058,0022,0034,0033,
0058,0022,0035,0033,
