delta1,delta2,delta3,delta4
0067,0029,0038,0035,
0067,0029,0038,0035,
0067,0028,0034,0035,
0065,0026,0034,0037,
0065,0026,0034,0037,
0065,0026,0037,0037,
0067,0026,0038,0039,
0067,0026,0038,0039,
0067,0026,0036,0039,
0068,0028,0036,0040,
0068,0028,0036,0040,
0068,0028,0036,0040,
0067,0025,0036,0036,
0067,0025,0036,0036,
0067,0025,0036,0036,
0067,0029,0037,0040,
0067,0029,0037,0040,
0068,0029,0036,0040,
0066,0027,0036,0039,
0066,0027,0036,0039,
0066,0027,0036,0039,
0067,0027,0036,0037,
0067,0027,0036,0037,
0068,0027,0036,0037,
0064,0026,0035,0040,
0064,0026,0035,0040,
0064,0026,0035,0040,
0067,0027,0038,0042,
0067,0027,0038,0042,
0066,0027,0036,0042,
