delta1,delta2,delta3,delta4
0063,0097,0156,0134,
0063,0097,0154,0134,
0063,0082,0137,0127,
0067,0082,0137,0127,
0063,0086,0138,0128,
0063,0086,0138,0128,
0063,0086,0140,0128,
0079,0100,0167,0152,
0079,0115,0193,0166,
0080,0115,0201,0169,
0088,0141,0243,0204,
0088,0143,0246,0204,
0088,0143,0246,0204,
0088,0143,0237,0204,
0079,0119,0205,0174,
0068,0106,0164,0142,
0060,0094,0156,0138,
0060,0082,0139,0123,
0055,0077,0122,0112,
0054,0071,0109,0100,
0054,0066,0109,0100,
0054,0066,0109,0100,
0062,0081,0121,0110,
0062,0084,0129,0119,
0062,0087,0141,0124,
0084,0119,0190,0174,
0084,0126,0220,0195,
0089,0128,0236,0197,
0095,0148,0252,0211,
0095,0148,0252,0211,
