delta1,delta2,delta3,delta4
0066,0105,0189,0162,
0081,0129,0232,0197,
0081,0129,0237,0197,
0081,0129,0243,0200,
0080,0123,0237,0196,
0080,0122,0219,0187,
0078,0109,0190,0171,
0069,0106,0189,0160,
0069,0104,0179,0154,
0069,0104,0179,0154,
0073,0116,0202,0177,
0073,0116,0206,0177,
0073,0116,0208,0177,
0073,0121,0212,0178,
0073,0121,0212,0178,
0073,0115,0212,0178,
0072,0108,0199,0167,
0072,0108,0190,0167,
0069,0099,0171,0151,
0062,0098,0169,0146,
0062,0088,0150,0136,
0057,0078,0143,0126,
0056,0078,0132,0118,
0056,0077,0132,0118,
0056,0077,0132,0118,
0064,0095,0169,0143,
0064,0109,0191,0154,
0064,0111,0217,0161,
0075,0127,0238,0184,
0075,0127,0238,0184,
