delta1,delta2,delta3,delta4
0104,0155,0289,0246,
0104,0155,0289,0246,
0102,0152,0277,0249,
0102,0152,0277,0249,
0102,0152,0277,0245,
0094,0144,0265,0226,
0094,0144,0265,0226,
0094,0141,0265,0226,
0095,0141,0254,0222,
0095,0141,0254,0222,
0095,0143,0254,0222,
0093,0135,0252,0217,
0093,0135,0252,0217,
0093,0135,0249,0217,
0092,0126,0233,0205,
0092,0126,0229,0205,
0092,0126,0229,0201,
0079,0121,0220,0191,
0079,0121,0220,0191,
0079,0121,0220,0191,
0087,0134,0244,0208,
0087,0134,0244,0208,
0087,0134,0246,0208,
0094,0136,0255,0218,
0094,0136,0255,0218,
0094,0130,0232,0201,
0079,0114,0225,0182,
0079,0114,0196,0169,
0078,0114,0196,0169,
0067,0103,0178,0156,
