delta1,delta2,delta3,delta4
0104,0147,0277,0231,
0112,0166,0325,0265,
0112,0166,0325,0265,
0103,0146,0272,0230,
0093,0134,0263,0210,
0093,0134,0251,0205,
0093,0134,0247,0205,
0094,0144,0247,0207,
0094,0144,0247,0207,
0098,0144,0262,0217,
0115,0169,0316,0267,
0115,0169,0316,0267,
0108,0154,0283,0241,
0095,0138,0264,0216,
0100,0143,0256,0216,
0095,0142,0253,0209,
0092,0142,0249,0206,
0092,0142,0249,0206,
0101,0153,0279,0234,
0102,0153,0281,0234,
0102,0157,0281,0238,
0102,0149,0277,0234,
0098,0146,0263,0205,
0097,0143,0258,0205,
0094,0139,0250,0213,
0095,0140,0252,0217,
0095,0140,0252,0217,
0112,0161,0293,0262,
0114,0170,0333,0279,
0117,0173,0353,0292,
