delta1,delta2,delta3,delta4
0081,0112,0197,0165,
0082,0112,0197,0165,
0094,0134,0237,0207,
0094,0134,0238,0207,
0094,0139,0255,0215,
0108,0155,0301,0267,
0108,0155,0301,0267,
0097,0147,0272,0228,
0094,0142,0246,0206,
0094,0142,0243,0206,
0091,0140,0243,0206,
0090,0134,0249,0209,
0090,0134,0249,0209,
0090,0134,0252,0209,
0098,0144,0261,0228,
0098,0144,0261,0228,
0098,0145,0261,0228,
0101,0150,0281,0238,
0101,0150,0281,0238,
0101,0150,0290,0243,
0118,0182,0353,0292,
0118,0182,0353,0292,
0114,0172,0335,0272,
0099,0160,0324,0239,
0099,0151,0290,0237,
0096,0136,0245,0207,
0085,0128,0226,0190,
0085,0128,0226,0190,
0085,0128,0226,0190,
0097,0144,0254,0218,
