delta1,delta2,delta3,delta4
0090,0137,0238,0202,
0090,0137,0238,0202,
0085,0113,0231,0176,
0070,0113,0196,0159,
0065,0096,0161,0139,
0065,0096,0160,0139,
0066,0090,0158,0137,
0066,0093,0158,0137,
0066,0093,0158,0137,
0080,0118,0198,0173,
0080,0118,0198,0173,
0081,0119,0198,0176,
0069,0106,0187,0155,
0069,0100,0170,0147,
0069,0095,0151,0139,
0056,0084,0140,0123,
0056,0084,0140,0123,
0056,0084,0140,0113,
0068,0104,0153,0113,
0068,0104,0172,0131,
0068,0104,0173,0152,
0076,0104,0180,0155,
0076,0104,0180,0155,
0068,0095,0144,0138,
0053,0079,0143,0115,
0053,0073,0124,0108,
0053,0073,0123,0108,
0050,0072,0122,0109,
0050,0073,0122,0109,
0050,0073,0122,0109,
