delta1,delta2,delta3,delta4
0069,0095,0157,0138,
0074,0101,0174,0156,
0074,0106,0191,0167,
0075,0115,0203,0178,
0091,0147,0256,0221,
0098,0155,0303,0241,
0098,0169,0342,0249,
0098,0169,0342,0249,
0098,0169,0342,0249,
0098,0169,0342,0249,
0098,0169,0325,0240,
0090,0150,0268,0206,
0073,0123,0213,0165,
0071,0118,0186,0155,
0070,0103,0162,0140,
0057,0093,0147,0122,
0057,0093,0147,0122,
0057,0093,0147,0122,
0057,0093,0147,0122,
0069,0096,0155,0142,
0069,0101,0171,0149,
0069,0109,0181,0161,
0091,0129,0214,0192,
0091,0135,0242,0208,
0090,0135,0246,0210,
0088,0135,0246,0208,
0088,0130,0240,0198,
0079,0125,0215,0178,
0079,0121,0204,0177,
0078,0114,0190,0163,
