delta1,delta2,delta3,delta4
0076,0122,0220,0185,
0065,0092,0160,0137,
0052,0081,0153,0119,
0049,0072,0126,0108,
0049,0072,0126,0108,
0050,0068,0119,0098,
0050,0068,0119,0098,
0050,0068,0119,0098,
0070,0097,0176,0156,
0070,0104,0197,0164,
0071,0119,0215,0170,
0095,0155,0306,0244,
0095,0155,0309,0244,
0095,0155,0309,0244,
0095,0155,0309,0244,
0095,0155,0309,0244,
0073,0109,0199,0161,
0058,0097,0196,0148,
0067,0102,0167,0143,
0059,0089,0154,0130,
0059,0087,0152,0130,
0059,0087,0152,0130,
0067,0094,0161,0143,
0067,0099,0167,0143,
0067,0100,0167,0143,
0085,0119,0194,0176,
0085,0123,0212,0182,
0085,0125,0219,0184,
0092,0140,0255,0221,
0092,0140,0263,0221,
