delta1,delta2,delta3,delta4
0101,0161,0318,0250,
0101,0161,0318,0250,
0101,0165,0333,0260,
0099,0155,0313,0246,
0099,0155,0313,0245,
0091,0143,0287,0231,
0091,0143,0287,0229,
0091,0143,0287,0229,
0092,0146,0292,0229,
0111,0180,0372,0281,
0113,0188,0415,0307,
0121,0188,0415,0307,
0113,0188,0409,0306,
0101,0173,0340,0259,
0087,0132,0260,0200,
0081,0132,0234,0198,
0079,0124,0216,0186,
0079,0124,0234,0186,
0082,0127,0244,0197,
0088,0135,0271,0225,
0095,0146,0287,0226,
0108,0165,0328,0260,
0108,0165,0328,0260,
0083,0137,0270,0206,
0082,0129,0244,0185,
0068,0109,0205,0150,
0056,0088,0162,0114,
0052,0088,0162,0114,
0052,0088,0162,0114,
0052,0088,0162,0114,
