delta1,delta2,delta3,delta4
0068,0096,0149,0138,
0057,0093,0146,0125,
0052,0079,0121,0105,
0052,0078,0116,0105,
0049,0070,0112,0098,
0049,0070,0110,0098,
0049,0070,0110,0098,
0066,0091,0148,0127,
0066,0094,0159,0143,
0067,0097,0176,0147,
0092,0140,0241,0210,
0092,0140,0256,0210,
0092,0140,0256,0210,
0092,0140,0256,0210,
0092,0140,0256,0210,
0083,0123,0205,0162,
0069,0122,0194,0155,
0066,0096,0161,0133,
0046,0081,0136,0105,
0046,0081,0136,0105,
0046,0081,0136,0105,
0046,0081,0136,0105,
0063,0089,0141,0124,
0063,0089,0141,0124,
0063,0089,0141,0124,
0075,0103,0174,0156,
0075,0104,0182,0159,
0075,0110,0189,0166,
0090,0137,0238,0202,
0090,0137,0238,0202,
