delta1,delta2,delta3,delta4
0105,0159,0314,0257,
0105,0159,0314,0257,
0094,0159,0314,0257,
0092,0159,0314,0257,
0092,0137,0266,0213,
0084,0124,0241,0193,
0083,0124,0238,0193,
0083,0124,0238,0193,
0083,0126,0238,0195,
0107,0154,0305,0253,
0107,0167,0338,0286,
0117,0167,0338,0286,
0121,0167,0338,0286,
0121,0167,0338,0286,
0103,0148,0295,0241,
0096,0145,0293,0232,
0096,0135,0255,0212,
0089,0127,0247,0200,
0086,0127,0247,0200,
0086,0127,0255,0200,
0086,0131,0257,0208,
0122,0183,0378,0313,
0122,0183,0388,0313,
0119,0177,0388,0311,
0114,0169,0345,0279,
0095,0136,0268,0211,
0065,0097,0190,0146,
0061,0097,0190,0146,
0061,0097,0190,0146,
0061,0097,0190,0146,
