delta1,delta2,delta3,delta4
0063,0095,0172,0141,
0063,0095,0172,0141,
0071,0104,0187,0163,
0071,0104,0189,0163,
0071,0104,0189,0165,
0078,0119,0221,0191,
0081,0120,0229,0191,
0081,0123,0233,0191,
0091,0148,0284,0231,
0091,0148,0291,0231,
0091,0148,0291,0231,
0091,0148,0291,0231,
0091,0148,0291,0231,
0091,0148,0292,0231,
0085,0148,0292,0213,
0082,0140,0272,0207,
0082,0140,0260,0207,
0081,0126,0251,0193,
0081,0125,0239,0193,
0081,0125,0239,0193,
0087,0127,0245,0200,
0087,0127,0245,0200,
0087,0127,0245,0200,
0086,0132,0237,0197,
0086,0132,0237,0197,
0086,0132,0237,0197,
0093,0145,0278,0231,
0097,0146,0283,0234,
0097,0153,0309,0241,
0106,0177,0371,0280,
