delta1,delta2,delta3,delta4
0094,0144,0273,0236,
0098,0149,0297,0249,
0101,0152,0307,0249,
0113,0173,0371,0295,
0113,0179,0386,0295,
0113,0179,0393,0295,
0104,0182,0393,0290,
0104,0182,0378,0290,
0101,0174,0349,0263,
0096,0166,0335,0256,
0084,0142,0282,0222,
0084,0135,0259,0213,
0079,0129,0249,0194,
0079,0120,0243,0186,
0079,0120,0243,0186,
0087,0130,0255,0215,
0087,0134,0256,0215,
0087,0134,0272,0216,
0105,0164,0339,0276,
0105,0165,0363,0276,
0105,0165,0363,0283,
0096,0165,0363,0263,
0096,0157,0323,0252,
0096,0143,0272,0225,
0081,0136,0271,0201,
0080,0122,0240,0187,
0080,0122,0240,0187,
0080,0120,0237,0194,
0080,0122,0242,0194,
0080,0122,0242,0194,
