delta1,delta2,delta3,delta4
00004,00002,00003,-0001
00001,00001,00000,00000
00002,00002,00001,-0001
00002,00002,00000,00000
00002,00001,00001,00002
00005,00001,-0001,00003
00003,00003,00002,00000
00006,00002,00003,00002
00003,00004,00002,00003
00003,00002,00001,00003
00006,00006,00002,00002
00014,00005,00003,00005
00019,00015,00006,00009
00022,00017,00011,00017
00025,00017,00011,00017
00025,00017,00011,00017
00030,00017,00011,00017
00027,00017,00011,00017
00026,00017,00011,00017
00028,00025,00034,00036
00028,00025,00038,00039
00028,00025,00041,00042
00028,00026,00043,00042
00028,00027,00044,00050
00028,00028,00044,00045
00029,00026,00043,00050
00031,00027,00037,00050
00035,00032,00037,00058
00035,00030,00034,00053
00029,00027,00030,00043
00022,00023,00025,00032
00013,00009,00023,00026
00016,00013,00023,00026
00016,00013,00023,00026
00016,00013,00023,00026
00016,00013,00023,00026
00016,00012,00023,00026
00011,00011,00012,00016
00011,00011,00010,00016
00011,00011,00010,00016
00011,00011,00010,00016
00006,00011,00009,00016
00009,00011,00008,00016
00010,00005,00008,00011
00010,00005,00008,00012
00010,00005,00008,00009
00010,00005,00008,00009
00010,00005,00008,00011
00010,00005,00008,00010
00009,00006,00005,00008
00005,00007,00005,00007
00006,00006,00003,00005
00005,00004,00003,00003
00005,00004,00001,00003
00006,00001,00003,00001
