delta1,delta2,delta3,delta4
00000,00000,00004,00002
00003,00002,00001,00000
00003,00001,00001,00001
00002,00002,00001,00001
00002,00002,00000,00001
00002,00001,00002,00002
00001,00002,00001,00002
00005,00003,00000,00000
00006,00006,00002,00000
00008,00006,00000,-0001
00005,00004,00001,00001
00007,00003,00002,00003
00011,00004,00003,00005
00021,00008,00004,00010
00026,00008,00004,00010
00031,00008,00004,00010
00037,00008,00004,00010
00037,00008,00004,00010
00038,00008,00004,00010
00037,00025,00020,00031
00037,00024,00023,00034
00037,00025,00026,00038
00037,00028,00030,00038
00037,00028,00035,00042
00037,00028,00038,00039
00033,00027,00039,00042
00030,00030,00044,00046
00029,00030,00044,00047
00030,00035,00039,00045
00039,00026,00034,00043
00029,00030,00025,00043
00030,00030,00027,00042
00029,00027,00030,00039
00022,00022,00030,00035
00017,00020,00027,00031
00014,00014,00021,00022
00013,00016,00021,00022
00016,00016,00021,00022
00010,00011,00016,00021
00013,00012,00016,00021
00012,00008,00016,00021
00012,00011,00016,00021
00013,00009,00016,00021
00010,00012,00016,00021
00014,00011,00009,00016
00014,00011,00011,00016
00014,00011,00008,00016
00014,00011,00012,00016
00014,00011,00009,00016
00014,00011,00007,00016
00010,00008,00007,00013
00010,00008,00007,00017
00007,00005,00007,00011
00007,00005,00007,00009
00007,00005,00007,00009
