delta1,delta2,delta3,delta4
-0003,00000,00000,-0001
00001,00001,00000,-0002
00001,00002,00001,-0001
00000,00000,00001,-0001
00002,00001,00000,00001
00001,00001,00001,-0001
00004,00001,00000,00000
00002,00001,00001,00000
00004,00002,00000,-0002
00014,00006,00002,00005
00017,00009,00005,00009
00017,00013,00013,00017
00022,00018,00015,00021
00021,00018,00015,00018
00025,00018,00015,00018
00028,00018,00015,00018
00029,00018,00015,00018
00038,00018,00015,00018
00042,00024,00026,00035
00042,00024,00029,00040
00042,00023,00031,00043
00042,00022,00031,00045
00042,00019,00031,00042
00042,00019,00030,00033
00015,00012,00028,00031
00009,00012,00028,00031
00010,00012,00028,00031
00011,00012,00028,00031
00008,00012,00028,00031
00009,00012,00028,00031
00005,00008,00009,00021
00005,00008,00010,00021
00005,00008,00008,00021
00005,00008,00006,00021
00005,00008,00004,00021
00005,00008,00004,00021
00002,00002,00004,00008
00002,00002,00004,00000
00002,00002,00004,00002
00002,00002,00004,00005
00002,00002,00004,00004
00002,00002,00004,00002
00003,00001,00001,00001
00002,00002,00000,00000
00003,00000,00000,00000
00001,00002,00000,00000
00000,00003,00001,00002
00001,00001,00000,-0001
-0001,00000,00000,00001
00002,00000,00000,-0001
00001,00000,00000,00001
00001,00000,00000,00001
00002,00001,00000,00001
00003,-0001,00000,-0001
-0001,-0001,00000,00001
