delta1,delta2,delta3,delta4
0010,0021,0029,0021,
0008,0024,0038,0028,
0011,0024,0038,0028,
0011,0024,0038,0028,
0014,0025,0032,0026,
0014,0025,0032,0025,
0014,0025,0032,0025,
0012,0022,0034,0022,
0011,0015,0034,0020,
0011,0015,0034,0020,
0003,0018,0023,0020,
0003,0018,0023,0016,
0003,0017,0023,0016,
0002,0010,0012,0011,
0000,0006,0008,0010,
0000,0006,0008,0009,
0000,0004,0007,0007,
0000,0004,0007,0004,
0000,0004,0007,0004,
0000,-001,0000,0001,
0000,-001,0000,0001,
0000,-001,0000,0001,
0000,-004,0004,0002,
0001,-004,0004,0002,
0001,-004,0004,0002,
0001,-004,-001,-002,
-001,-003,-001,-002,
-001,-003,-001,-002,
0003,-003,0001,-003,
0003,0000,0001,-005,
