delta1,delta2,delta3,delta4
0007,0023,0028,0029,
0019,0027,0044,0033,
0019,0031,0046,0038,
0019,0040,0060,0043,
0035,0050,0071,0060,
0037,0051,0074,0060,
0037,0056,0082,0060,
0042,0061,0087,0069,
0042,0068,0087,0069,
0042,0068,0099,0069,
0026,0053,0104,0075,
0022,0050,0104,0075,
0022,0049,0104,0075,
0022,0034,0078,0072,
0022,0034,0070,0070,
0022,0034,0066,0070,
0004,0008,0019,0016,
0004,0008,0018,0016,
0001,0006,0011,0009,
-002,-006,-004,-002,
-002,-006,-004,-002,
-002,-006,-004,-002,
-002,-002,-003,-010,
-002,-002,-003,-010,
-002,-002,-003,-007,
-006,-004,-007,-007,
-006,-004,-007,-007,
-006,-004,-007,-008,
-006,-005,-002,-008,
-006,-005,-002,-008,
