delta1,delta2,delta3,delta4
0015,0023,0033,0037,
0015,0023,0033,0037,
0028,0034,0047,0055,
0028,0034,0047,0055,
0028,0034,0052,0055,
0042,0048,0068,0067,
0042,0048,0068,0067,
0042,0048,0072,0067,
0028,0061,0087,0074,
0028,0061,0087,0074,
0028,0044,0086,0074,
0015,0041,0077,0061,
0015,0025,0057,0061,
0015,0014,0027,0038,
0006,0005,0021,0030,
0006,0005,0013,0015,
0006,0005,0013,0015,
0000,0003,0001,0001,
0000,0003,0001,0001,
0000,0003,0001,0001,
0001,-003,0004,0002,
0001,-003,0004,0002,
0003,-003,0004,0002,
0002,-002,0002,0003,
0002,-002,0002,0003,
0002,-002,0002,0003,
-001,-001,0001,-003,
-001,-001,0001,-003,
-001,-001,0001,-003,
-003,-002,0001,-001,
