delta1,delta2,delta3,delta4
0013,0021,0023,0031,
0014,0021,0023,0031,
0027,0035,0042,0056,
0027,0035,0047,0056,
0031,0039,0053,0057,
0037,0064,0078,0074,
0037,0064,0088,0074,
0032,0061,0089,0074,
0020,0060,0089,0092,
0020,0040,0089,0092,
0013,0018,0039,0049,
0008,0012,0024,0037,
0008,0008,0015,0018,
0005,0005,0009,0016,
0004,0002,0006,0008,
0004,0002,0006,0008,
0001,0002,0001,0002,
0001,0003,0001,-001,
0001,0003,0001,-001,
0002,0003,0003,-001,
0004,-002,0004,0003,
0004,-002,0004,0003,
0004,-002,0004,0003,
0002,0003,0002,0006,
0002,0003,0002,0006,
0002,0003,0002,0006,
0003,0000,0002,0005,
0003,0000,0002,0005,
0003,0000,0002,0005,
0002,0002,0001,0002,
