delta1,delta2,delta3,delta4
0015,0023,0025,0030,
0014,0022,0024,0029,
0015,0025,0040,0041,
0015,0025,0040,0041,
0015,0025,0040,0041,
0018,0037,0055,0051,
0018,0037,0055,0051,
0017,0022,0039,0046,
0002,0015,0033,0035,
0002,0013,0024,0031,
0002,0010,0011,0019,
0004,0004,0002,0003,
0004,0004,0002,0003,
0004,0004,0002,0003,
-001,0000,0000,-002,
-001,0000,0000,-002,
-001,0000,0000,-002,
0002,0005,0001,-001,
0002,0005,0001,-001,
0001,0005,0001,-001,
-002,-002,-003,-003,
-002,-002,-003,-003,
-002,-002,-003,-003,
-003,0000,0005,-003,
-003,0000,0005,-003,
-003,0000,0005,-003,
0000,0002,-002,-002,
0000,0002,-002,-002,
0000,0002,-002,-002,
0001,0001,-001,-001,
