delta1,delta2,delta3,delta4
0005,0010,0018,0026,
0009,0011,0018,0026,
0009,0015,0027,0036,
0009,0018,0027,0036,
0009,0018,0027,0036,
0014,0024,0032,0038,
0014,0024,0032,0038,
0010,0026,0032,0038,
0010,0026,0032,0046,
0010,0026,0032,0046,
0011,0025,0032,0046,
0011,0022,0037,0045,
0011,0022,0038,0045,
0013,0022,0038,0045,
0005,0018,0041,0046,
0005,0018,0041,0046,
0005,0018,0031,0043,
0009,0016,0029,0034,
0009,0016,0022,0032,
0004,0009,0019,0030,
0000,0008,0011,0020,
0000,0004,0011,0015,
0000,0004,0011,0015,
0001,0001,0005,0009,
0001,0001,0005,0009,
0001,0001,0005,0009,
-003,-001,0002,0012,
-003,-001,0002,0012,
-003,-001,0002,0012,
0001,0004,0003,0010,
