delta1,delta2,delta3,delta4
0018,0020,0028,0031,
0018,0022,0028,0031,
0021,0026,0037,0041,
0021,0026,0037,0041,
0021,0026,0037,0041,
0029,0037,0050,0050,
0029,0037,0053,0051,
0031,0038,0053,0051,
0027,0047,0067,0066,
0027,0047,0068,0066,
0027,0040,0069,0066,
0024,0037,0069,0073,
0024,0032,0065,0073,
0016,0018,0035,0053,
0012,0016,0030,0039,
0008,0007,0014,0020,
0008,0005,0010,0018,
0001,0001,0003,0005,
0001,0001,0003,0005,
0001,0001,0003,0005,
0005,0006,0000,0001,
0005,0006,0000,0001,
0007,0003,0000,0001,
0008,0003,0000,0002,
0008,0003,0001,0002,
0007,0002,0001,0002,
0007,0001,0001,0000,
0007,0001,0000,0000,
0006,0001,0000,0000,
0004,0000,0003,0007,
