delta1,delta2,delta3,delta4
0007,0014,0022,0028,
0007,0014,0022,0028,
0012,0021,0029,0035,
0012,0021,0029,0035,
0012,0021,0029,0042,
0016,0029,0035,0039,
0016,0029,0035,0039,
0017,0029,0035,0039,
0011,0030,0037,0041,
0011,0030,0037,0041,
0011,0025,0037,0040,
0012,0024,0030,0034,
0012,0021,0030,0034,
0011,0017,0015,0034,
0006,0016,0015,0026,
0006,0014,0014,0026,
0006,0011,0013,0022,
0002,0007,0012,0013,
0002,0007,0012,0013,
0002,0007,0011,0013,
0002,0005,0003,0005,
0002,0005,0003,0005,
0002,0005,0003,0005,
0003,0004,0003,0003,
0003,0004,0003,0003,
0002,0004,0003,0003,
0000,0001,0000,0009,
0000,0001,0000,0009,
0000,0001,0000,0009,
-003,0001,0006,0005,
