delta1,delta2,delta3,delta4
0013,0026,0035,0033,
0016,0026,0035,0035,
0024,0036,0048,0050,
0024,0036,0048,0050,
0029,0043,0053,0055,
0026,0051,0076,0064,
0026,0051,0076,0064,
0021,0035,0078,0064,
0015,0029,0070,0071,
0015,0027,0049,0071,
0010,0013,0023,0034,
0004,0009,0020,0022,
0004,0005,0011,0012,
0004,0005,0011,0012,
0003,0005,0002,0003,
0003,0005,0002,0003,
0003,0006,0002,0003,
0004,0005,0002,-003,
0004,0005,0002,-003,
0004,0005,0002,-003,
0001,0003,-001,0006,
0001,0003,-001,0006,
0001,0003,-001,0005,
0002,0004,0006,-002,
0002,0004,0006,-002,
0002,0004,0006,-002,
0002,0004,0002,0001,
0002,0004,0002,0001,
0004,0004,0002,0001,
0002,0006,0001,0004,
