delta1,delta2,delta3,delta4
0018,0024,0038,0038,
0020,0025,0038,0038,
0020,0029,0040,0043,
0022,0032,0041,0041,
0022,0029,0041,0041,
0013,0028,0041,0038,
0010,0019,0032,0038,
0010,0018,0032,0031,
0007,0011,0017,0024,
0004,0010,0015,0013,
0004,0005,0009,0013,
0004,0005,0009,0012,
0003,0001,0003,0008,
0003,0001,0003,0008,
0003,0001,0003,0008,
0003,0003,0001,0004,
0003,0003,0001,0004,
0003,0003,0001,0004,
0003,0002,0002,-001,
0003,0002,0002,-001,
0000,0002,0002,-001,
0000,0000,0001,0003,
0000,0000,0001,0003,
0000,0000,0001,0005,
0000,0001,0001,0001,
0000,0001,0001,0001,
0000,0003,0001,0001,
-002,0002,0002,0005,
-002,0002,0002,0005,
-002,0002,0002,0006,
