delta1,delta2,delta3,delta4
0014,0032,0049,0033,
0014,0032,0049,0034,
0034,0038,0060,0052,
0034,0038,0063,0052,
0034,0043,0067,0052,
0045,0051,0071,0064,
0045,0051,0071,0064,
0045,0055,0089,0064,
0037,0058,0096,0068,
0037,0058,0096,0068,
0037,0058,0096,0068,
0023,0032,0085,0070,
0023,0032,0065,0064,
0023,0030,0061,0064,
0002,0006,0015,0019,
0002,0006,0015,0019,
0002,0003,0014,0019,
0002,-005,-001,-001,
0002,-005,-001,-001,
0002,-005,-001,-001,
0001,-009,0000,-001,
0001,-009,0000,-001,
0001,-009,0000,-001,
0000,-006,-018,0001,
0000,-006,-018,0001,
0000,-006,-018,0001,
-001,-009,-001,-005,
-001,-009,-001,-005,
-001,-009,-001,-005,
-001,-002,-001,-007,
