delta1,delta2,delta3,delta4
0016,0020,0021,0030,
0016,0020,0021,0031,
0025,0029,0034,0037,
0025,0029,0034,0037,
0024,0032,0037,0040,
0024,0041,0051,0045,
0024,0041,0051,0045,
0027,0039,0052,0045,
0027,0038,0050,0051,
0027,0038,0050,0051,
0020,0031,0048,0049,
0016,0026,0035,0035,
0016,0024,0031,0033,
0013,0014,0022,0030,
0005,0014,0020,0016,
0004,0006,0013,0016,
0004,0006,0013,0011,
0002,0002,0005,0002,
0002,0002,0002,0002,
0002,0002,0002,0002,
0006,0003,-006,0004,
0006,0003,-006,0004,
0008,0001,-006,0004,
0006,-002,0002,0007,
0006,-002,0002,0007,
0005,-002,0002,0003,
-002,0001,-003,-002,
-002,0001,-003,-002,
-002,0001,-003,-002,
0004,0001,-004,-002,
