delta1,delta2,delta3,delta4
0013,0020,0029,0030,
0016,0020,0029,0030,
0016,0027,0039,0041,
0016,0027,0039,0041,
0013,0021,0039,0041,
0013,0020,0036,0038,
0013,0019,0036,0038,
0006,0012,0023,0020,
0006,0006,0013,0007,
0006,0004,0010,0007,
0004,0002,0008,0002,
0002,0001,0004,0002,
0002,0001,0004,0002,
0002,0001,0004,0002,
0004,0003,0002,-001,
0004,0003,0002,-001,
0004,0003,0002,-001,
-001,-002,0004,0001,
-001,-002,0004,0001,
-001,-002,0004,0001,
0002,0001,0002,0002,
0002,0001,0002,0002,
0002,0001,0002,0002,
-004,-001,0000,0000,
-004,-001,0001,0000,
-004,-001,0001,0000,
0003,-002,0008,0004,
0003,-002,0008,0004,
0003,-002,0008,0004,
0002,0002,0003,0001,
