delta0,delta1,delta2,delta3,delta4
0000,0001,-002,0005,0001
0000,0001,-002,0005,0001
0000,0001,-002,0005,0001
0003,0002,0007,0004,-001
0003,0002,0007,0004,-001
0003,0002,0007,0004,-001
0001,0003,0004,0004,-002
0001,0003,0004,0004,-002
0001,0003,0004,0004,-002
0001,0002,-001,0002,0000
0001,0002,-001,0002,0000
0001,0002,-001,0002,0000
0002,0001,0002,0000,0001
0002,0001,0002,0000,0001
0002,0001,0002,0000,0001
-001,0003,0000,0003,0001
-001,0003,0000,0003,0001
-001,0003,0000,0003,0001
-001,0003,-002,-002,-001
-001,0003,-002,-002,-001
-001,0003,-002,-002,-001
0004,0002,-002,0004,0000
0004,0002,-002,0004,0000
0004,0002,-002,0004,0000
0004,0001,-004,0001,0002
0004,0001,-004,0001,0002
0004,0001,-004,0001,0002
0002,0001,0000,0003,0001
0002,0001,0000,0003,0001
0002,0001,0000,0003,0001
