delta0,delta1,delta2,delta3,delta4
0004,0001,0002,-001,0005
-002,0002,0001,0004,0000
-002,0002,0001,0004,0000
-002,0002,0001,0004,0000
0000,0005,-001,0003,0001
0000,0005,-001,0003,0001
0000,0005,-001,0003,0001
-001,0006,-002,0003,0003
-001,0006,-002,0003,0003
-001,0006,-002,0003,0003
-003,0005,-001,0002,0001
-003,0005,-001,0002,0001
-003,0005,-001,0002,0001
-001,0002,-003,0000,0001
-001,0002,-003,0000,0001
-001,0002,-003,0000,0001
0000,0003,0000,0001,0000
0000,0003,0000,0001,0000
0000,0003,0000,0001,0000
-001,0000,-003,0001,-001
-001,0000,-003,0001,-001
-001,0000,-003,0001,-001
0005,0000,0005,-001,0003
0005,0000,0005,-001,0003
0005,0000,0005,-001,0003
0000,0004,-001,0002,0003
0000,0004,-001,0002,0003
0000,0004,-001,0002,0003
0003,0005,0002,0004,0000
0003,0005,0002,0004,0000
