delta0,delta1,delta2,delta3,delta4
0007,0000,0002,0001,0006
0007,0000,0002,0001,0006
0007,0000,0002,0001,0006
0006,0001,0006,0001,0003
0006,0001,0006,0001,0003
0006,0001,0006,0001,0003
0004,0004,0001,0004,0001
0004,0004,0001,0004,0001
0004,0004,0001,0004,0001
0003,0007,0005,0002,0003
0003,0007,0005,0002,0003
0003,0007,0005,0002,0003
0000,0003,0000,0000,0002
0000,0003,0000,0000,0002
0000,0003,0000,0000,0002
0008,0000,0006,-002,0004
0008,0000,0006,-002,0004
0008,0000,0006,-002,0004
0001,0000,0002,-002,-001
0001,0000,0002,-002,-001
0001,0000,0002,-002,-001
0001,0003,0004,0002,0000
0001,0003,0004,0002,0000
0001,0003,0004,0002,0000
0006,-001,0005,0001,0002
0006,-001,0005,0001,0002
0006,-001,0005,0001,0002
0005,0001,0005,-001,0001
0005,0001,0005,-001,0001
0005,0001,0005,-001,0001
