delta0,delta1,delta2,delta3,delta4
0000,0001,0003,0003,0002
0000,0001,0003,0003,0002
-001,0001,0003,0003,0002
-001,-002,0003,0003,0007
-001,-002,0003,0003,0006
-002,-002,0003,0003,0006
-002,-001,0000,0002,0002
-002,-001,0000,0002,0002
0001,-001,0000,0002,0002
0003,0003,0001,0001,0001
0002,0002,0000,0000,0000
0002,0002,0000,0000,0000
0000,0002,0000,0002,0001
0000,0002,0000,0002,0001
0000,0002,0000,0002,0001
0001,-001,-002,-001,0001
0001,-001,-002,-001,0001
0003,-001,-002,-001,0001
0003,-001,0002,0001,0002
0003,-001,0002,0001,0002
0002,-001,0002,0001,0002
0001,0001,0002,-001,0003
0001,0001,0002,-001,0003
0001,0001,0002,-001,0003
0004,0003,0001,-001,-001
0003,0003,0001,-001,-001
0003,0003,0001,-001,-001
-001,0001,-001,-001,-001
-001,0001,-001,-001,-001
-001,0001,-001,-001,-001
