delta0,delta1,delta2,delta3,delta4
0000,0005,0003,0002,0000
0000,0005,0003,0002,0000
-002,0001,0000,-001,-001
-002,0001,0000,-001,-001
-002,0001,0000,-001,-001
0002,0003,0002,0000,0001
0002,0003,0002,0000,0001
0002,0003,0002,0000,0001
-002,-001,0001,-001,0001
-002,-001,0001,-001,0001
-002,-001,0001,-001,0001
0003,0000,0005,0000,0006
0003,0000,0005,0000,0006
0003,0000,0005,0000,0006
0000,0005,-002,0002,0002
0000,0005,-002,0002,0002
0000,0005,-002,0002,0002
0001,-001,-001,-001,0001
0001,-001,-001,-001,0001
0001,-001,-001,-001,0001
0002,0001,0009,-001,0003
0002,0001,0009,-001,0003
0002,0001,0009,-001,0003
0002,0002,0006,0000,0005
0002,0002,0006,0000,0005
0002,0002,0006,0000,0005
-003,0005,-002,0002,0001
-003,0005,-002,0002,0001
-003,0005,-002,0002,0001
0005,0002,0002,0003,0006
