delta0,delta1,delta2,delta3,delta4
0009,0001,0003,-001,0003
0000,-001,0002,0002,-001
0000,-001,0002,0002,-001
0000,-001,0002,0002,-001
0007,0000,0005,0001,0005
0007,0000,0005,0001,0005
0007,0000,0005,0001,0005
0001,0001,-001,0002,0000
0001,0001,-001,0002,0000
0001,0001,-001,0002,0000
0002,0003,-001,0001,0001
0002,0003,-001,0001,0001
0002,0003,-001,0001,0001
0001,0005,0002,0005,0001
0001,0005,0002,0005,0001
0001,0005,0002,0005,0001
0002,-002,0000,0003,0000
0002,-002,0000,0003,0000
0002,-002,0000,0003,0000
0000,0001,-002,0002,0000
0000,0001,-002,0002,0000
0000,0001,-002,0002,0000
0000,0000,-003,0000,0000
0000,0000,-003,0000,0000
0000,0000,-003,0000,0000
0009,-001,0004,0002,0002
0009,-001,0004,0002,0002
0009,-001,0004,0002,0002
0000,0002,0002,0005,0003
0000,0002,0002,0005,0003
