delta0,delta1,delta2,delta3,delta4
0036,0042,0042,0044,0048
0048,0042,0047,0047,0048
0053,0045,0053,0055,0053
0048,0042,0077,0076,0064
0037,0042,0077,0083,0064
0029,0029,0071,0090,0065
0029,0029,0064,0115,0065
0032,0030,0052,0115,0072
0032,0030,0043,0088,0089
0032,0030,0039,0087,0093
0025,0030,0039,0067,0093
0020,0020,0028,0037,0059
0017,0016,0023,0028,0041
0016,0016,0021,0024,0033
0008,0013,0015,0014,0016
0008,0013,0010,0008,0014
0008,0013,0010,0008,0014
0005,0011,0010,0008,0010
0005,0011,0012,0007,0010
0005,0011,0012,0007,0010
0007,0011,0009,0007,0010
0007,0010,0009,0008,0013
0007,0010,0009,0008,0013
0007,0010,0008,0008,0013
0006,0008,0008,0008,0010
0006,0008,0008,0008,0010
0006,0006,0008,0006,0010
0008,0006,0008,0006,0009
0008,0006,0008,0006,0009
0008,0009,0008,0007,0009
