delta0,delta1,delta2,delta3,delta4
0018,0016,0036,0034,0028
0017,0016,0030,0034,0028
0013,0013,0027,0037,0034
0013,0013,0027,0037,0034
0013,0011,0021,0030,0034
0007,0010,0012,0026,0026
0007,0010,0011,0014,0025
0003,0009,0008,0010,0013
0003,0007,0006,0004,0007
0003,0007,0006,0001,0007
0002,0002,0006,0001,0007
0002,0001,0000,-002,0003
0002,0001,0000,-002,0003
0003,0001,0000,-001,0003
0001,0003,0002,-002,0003
0001,0003,0002,-002,0003
0000,0003,0000,-002,0003
-002,0001,0000,-003,0003
-002,0001,0000,-003,0003
-002,0001,0001,-003,0003
0000,-001,-004,-003,0002
0000,-001,-004,-003,0002
0000,-001,-004,-003,0002
0000,0005,0002,-003,0001
0000,0005,0002,-003,0001
0002,0004,0002,-003,0001
-001,-001,-002,-003,0003
-001,-001,-002,-003,0003
-001,-001,-002,-003,0003
0003,0006,0003,-002,0003
