delta0,delta1,delta2,delta3,delta4
0039,0034,0042,0046,0052
0049,0056,0046,0060,0056
0059,0077,0054,0061,0064
0066,0077,0064,0075,0073
0066,0063,0085,0075,0073
0034,0032,0087,0091,0062
0033,0032,0087,0097,0062
0027,0032,0062,0097,0062
0024,0021,0034,0059,0050
0020,0021,0033,0048,0045
0017,0021,0026,0033,0040
0016,0014,0014,0017,0021
0012,0014,0014,0017,0021
0012,0014,0014,0017,0021
0011,0011,0017,0013,0015
0010,0011,0017,0012,0015
0010,0011,0017,0012,0015
0009,0015,0010,0012,0015
0009,0014,0010,0013,0015
0009,0014,0010,0013,0015
0008,0011,0015,0008,0012
0008,0011,0015,0008,0012
0008,0011,0015,0008,0012
0009,0012,0011,0008,0015
0010,0010,0010,0007,0014
0010,0010,0010,0007,0014
0007,0009,0012,0010,0014
0007,0009,0012,0010,0015
0007,0009,0012,0010,0015
0011,0011,0010,0004,0011
