delta0,delta1,delta2,delta3,delta4
0021,0026,0030,0032,0032
0022,0028,0030,0040,0035
0024,0028,0053,0047,0041
0024,0028,0056,0056,0041
0023,0023,0063,0060,0047
0022,0018,0063,0088,0050
0018,0018,0043,0088,0050
0018,0018,0030,0073,0052
0014,0015,0025,0057,0049
0007,0014,0022,0040,0048
0007,0014,0019,0016,0024
0007,0012,0012,0014,0019
0004,0012,0008,0011,0015
0004,0008,0004,0010,0013
0004,0008,0004,0008,0011
0004,0008,0004,0008,0011
0002,0005,0005,0005,0006
0000,0005,0002,0004,0006
0000,0005,0002,0004,0006
0000,0005,0002,0004,0005
-002,0005,0000,0007,0003
-002,0005,0000,0007,0003
-002,0005,0000,0003,0003
0000,0005,0000,0003,0004
0000,0005,0000,0003,0004
0000,0005,0000,0004,0004
0000,0001,0002,0004,0003
0000,0001,0002,0004,0003
0000,0001,0002,0005,0003
-001,0004,-001,0005,0003
