delta0,delta1,delta2,delta3,delta4
0019,0025,0032,0031,0030
0018,0023,0035,0031,0030
0018,0021,0043,0050,0035
0018,0021,0043,0053,0035
0019,0021,0054,0058,0039
0019,0024,0043,0103,0059
0025,0024,0043,0103,0059
0025,0024,0033,0091,0066
0025,0024,0033,0081,0086
0020,0020,0033,0078,0086
0013,0013,0025,0047,0056
0009,0011,0023,0043,0049
0009,0011,0016,0024,0026
0002,0010,0008,0013,0012
0002,0006,0003,0004,0005
0002,0006,0003,0004,0005
0002,0006,0003,0004,0004
0002,0005,0004,0002,0002
0002,0005,0004,0002,0002
-001,0002,-001,0002,0000
-001,-001,-001,0001,0000
-001,-001,-001,0001,0000
-002,-002,0000,0001,0002
-002,-002,-003,0000,0001
-002,-002,-003,0000,0001
-005,0000,-003,0000,0001
-005,0000,-004,-001,0001
-005,0000,-004,-001,0001
-001,0000,-004,-001,0001
0002,-001,0001,0000,-002
