delta0,delta1,delta2,delta3,delta4
0019,0019,0035,0035,0027
0019,0019,0035,0035,0027
0022,0017,0036,0052,0039
0022,0017,0036,0053,0039
0022,0017,0036,0053,0039
0019,0015,0030,0045,0056
0019,0015,0030,0045,0055
0019,0015,0030,0045,0055
0010,0005,0013,0013,0015
0010,0005,0013,0013,0015
0010,0005,0013,0013,0015
0004,0003,0003,0003,0002
0004,0003,0003,0003,0002
0004,0003,0003,0003,0002
0003,0004,-002,0002,0002
0003,0004,-002,0002,0002
0003,0004,-002,0002,0002
0006,0004,-005,0002,-002
0006,0004,-005,0002,-002
0006,0004,-005,0002,-002
0005,0003,-001,-003,0003
0005,0003,-001,-003,0003
0005,0003,-001,-003,0003
0000,0002,-001,-002,-002
0000,0002,-001,-002,-002
0000,0002,-001,-002,-002
0006,0003,0001,-001,-002
0006,0003,0001,-001,-002
0006,0003,0001,-001,-002
0002,0005,-004,0000,-003
