delta0,delta1,delta2,delta3,delta4
0024,0021,0029,0031,0031
0024,0021,0029,0031,0031
0027,0026,0040,0038,0036
0027,0026,0040,0038,0036
0027,0026,0040,0038,0036
0021,0018,0037,0048,0038
0021,0018,0037,0052,0038
0021,0018,0037,0052,0038
0014,0009,0015,0021,0026
0014,0009,0015,0020,0026
0014,0009,0015,0020,0026
0012,0006,0005,0010,0010
0012,0006,0005,0010,0010
0012,0006,0005,0010,0010
0004,0006,0009,0004,0005
0004,0006,0009,0004,0005
0004,0006,0009,0004,0005
0009,0006,0006,0003,0007
0009,0006,0006,0003,0007
0009,0006,0006,0003,0007
0007,0003,0005,0003,0006
0007,0003,0005,0003,0006
0007,0003,0005,0003,0006
0008,0006,0005,0008,0006
0008,0006,0005,0008,0006
0008,0006,0005,0008,0006
0009,0005,0005,0005,0007
0009,0005,0005,0005,0007
0009,0005,0005,0005,0007
0008,0003,0002,0004,0007
