time,delta0,delta1,delta2,delta3,delta4
89,0008,0006,0004,0005,0003,
90,0008,0006,0004,0005,0003,
91,0008,0006,0004,0005,0005,
92,0005,0003,0009,0010,0008,
93,0005,0003,0009,0010,0008,
94,0010,0006,0009,0010,0008,
95,0010,0008,0008,0013,0012,
96,0010,0008,0008,0013,0012,
97,0010,0008,0008,0016,0017,
98,0010,0011,0017,0024,0023,
99,0010,0011,0018,0029,0027,
100,0015,0011,0021,0033,0035,
101,0017,0016,0022,0034,0036,
102,0017,0017,0025,0038,0037,
103,0020,0017,0034,0049,0046,
104,0021,0020,0035,0050,0048,
105,0024,0020,0039,0053,0049,
106,0029,0026,0047,0059,0054,
107,0029,0026,0051,0061,0056,
108,0029,0026,0054,0065,0056,
109,0028,0029,0060,0066,0062,
110,0033,0033,0067,0073,0066,
111,0034,0034,0067,0073,0066,
112,0035,0034,0069,0077,0069,
113,0035,0036,0075,0078,0069,
114,0035,0036,0079,0078,0069,
115,0036,0036,0087,0078,0067,
116,0036,0035,0088,0084,0067,
117,0033,0035,0097,0086,0067,
118,0033,0035,0101,0086,0067,
119,0029,0026,0103,0090,0066,
120,0029,0026,0103,0093,0066,
121,0029,0026,0103,0093,0066,
122,0029,0026,0103,0090,0060,
123,0028,0020,0097,0090,0060,
124,0028,0020,0097,0094,0060,
125,0024,0019,0087,0096,0059,
126,0024,0019,0087,0107,0059,
127,0024,0019,0087,0126,0059,
128,0025,0020,0077,0131,0061,
129,0025,0020,0076,0155,0061,
130,0027,0020,0071,0185,0065,
131,0027,0016,0060,0193,0074,
132,0027,0016,0060,0201,0075,
133,0027,0016,0058,0207,0077,
134,0027,0016,0054,0211,0081,
135,0027,0016,0053,0211,0081,
136,0027,0016,0050,0211,0097,
137,0027,0016,0046,0212,0104,
138,0027,0016,0041,0206,0112,
139,0027,0016,0039,0206,0140,
140,0024,0016,0035,0174,0167,
141,0024,0016,0035,0151,0204,
142,0025,0016,0035,0118,0220,
143,0026,0017,0033,0083,0220,
144,0026,0017,0033,0071,0161,
145,0026,0021,0033,0066,0103,
146,0026,0021,0028,0050,0076,
147,0026,0021,0027,0050,0062,
148,0026,0021,0024,0050,0056,
149,0016,0005,0021,0037,0038,
150,0015,0005,0020,0033,0033,
151,0015,0005,0020,0032,0032,
152,0011,0002,0013,0024,0018,
153,0011,0001,0013,0020,0018,
154,0011,0001,0013,0020,0015,
155,0010,0001,0010,0012,0007,
156,0008,0002,0010,0008,0007,
157,0007,0002,0010,0008,0007,
158,0005,0002,0007,0008,0010,
