delta1,delta2,delta3,delta4
0008,0014,0029,0017,
0008,0014,0029,0017,
0015,0014,0026,0020,
0015,0014,0026,0020,
0015,0014,0026,0020,
0015,0013,0027,0021,
0015,0013,0027,0021,
0015,0013,0027,0021,
0008,0016,0022,0017,
0008,0016,0022,0017,
0008,0016,0022,0017,
0006,0010,0018,0009,
0006,0010,0018,0009,
0006,0010,0018,0009,
0007,0007,0011,0007,
0007,0007,0011,0007,
0007,0007,0011,0007,
0003,0001,0008,0003,
0003,0001,0008,0003,
0003,0001,0008,0003,
0006,0003,0007,0002,
0006,0003,0007,0002,
0006,0003,0007,0002,
0002,0003,0008,0004,
0002,0003,0008,0004,
0002,0003,0008,0004,
0003,-001,0001,-003,
0003,-001,0001,-003,
0003,-001,0001,-003,
0001,0005,0009,0001,
