delta1,delta2,delta3,delta4
0016,0022,0035,0031,
0016,0022,0035,0031,
0009,0025,0031,0036,
0009,0025,0029,0036,
0009,0025,0029,0036,
0010,0015,0021,0019,
0010,0015,0021,0019,
0010,0015,0021,0019,
0007,0006,0011,0012,
0007,0006,0011,0012,
0007,0006,0011,0012,
0004,0008,0004,0012,
0004,0008,0004,0012,
0004,0008,0004,0012,
0003,0006,0004,0011,
0003,0006,0004,0011,
0003,0006,0004,0011,
0007,0004,0006,-001,
0007,0004,0006,-001,
0006,0003,0005,0000,
0003,0004,0001,0008,
0003,0004,0001,0008,
0003,0004,0001,0008,
-001,0003,-001,0003,
-001,0003,-001,0003,
-001,0003,-001,0003,
0001,0004,-002,0007,
0001,0004,-002,0007,
0001,0004,-002,0007,
0005,0003,0003,0002,
