delta1,delta2,delta3,delta4
0009,0015,0023,0028,
0009,0015,0023,0028,
0015,0019,0032,0029,
0015,0019,0035,0029,
0015,0019,0035,0029,
0008,0024,0028,0030,
0008,0024,0028,0030,
0008,0024,0028,0030,
0012,0016,0020,0019,
0012,0015,0020,0019,
0012,0015,0020,0019,
0005,0009,0008,0014,
0005,0009,0008,0014,
0005,0009,0008,0014,
0007,0001,0009,0007,
0007,0001,0009,0007,
0007,0001,0009,0007,
0007,0004,0007,0004,
0007,0004,0007,0004,
0007,0004,0007,0004,
0007,0000,0007,0001,
0005,0000,0006,0001,
0005,0000,0006,0001,
0001,0001,0005,0003,
0001,0001,0005,0003,
0001,0001,0005,0003,
0001,0004,-001,0002,
0001,0004,-001,0002,
0001,0004,-001,0002,
0003,0003,0001,0004,
