delta1,delta2,delta3,delta4
0009,0014,0026,0025,
0009,0014,0026,0025,
0010,0013,0028,0022,
0010,0013,0028,0022,
0010,0013,0028,0022,
0009,0014,0024,0022,
0009,0014,0024,0022,
0009,0014,0024,0022,
0007,0016,0017,0021,
0007,0013,0017,0021,
0007,0013,0017,0021,
0004,0010,0010,0014,
0004,0010,0010,0014,
0004,0010,0010,0014,
0006,0002,0010,0004,
0006,0002,0010,0004,
0006,0002,0010,0004,
0007,0000,0005,0004,
0007,0000,0005,0004,
0007,0000,0005,0004,
0004,0003,0008,0000,
0004,0002,0008,0000,
0004,0002,0008,0000,
-001,0002,0001,0002,
-001,0003,0001,0002,
-001,0003,0001,0002,
0000,0001,0006,0006,
0000,0001,0006,0006,
0000,0001,0006,0006,
-001,0000,-002,-001,
