delta1,delta2,delta3,delta4
0008,0013,0025,0028,
0015,0023,0042,0043,
0016,0029,0043,0049,
0016,0029,0043,0049,
0022,0033,0057,0056,
0022,0035,0057,0056,
0022,0035,0057,0056,
0020,0031,0045,0040,
0020,0031,0042,0040,
0020,0031,0042,0040,
0012,0015,0027,0026,
0012,0015,0027,0026,
0012,0015,0027,0026,
0006,0007,0011,0016,
0006,0007,0011,0016,
0006,0007,0011,0016,
0000,0005,0007,0009,
0000,0003,0007,0009,
0000,0003,0007,0009,
0002,0002,0005,0005,
0002,0002,0005,0005,
0002,0002,0005,0005,
-003,0004,0003,0008,
-003,0004,0003,0008,
-003,0004,0003,0008,
0002,-002,0002,0002,
0002,-002,0002,0002,
0002,-002,0002,0002,
-003,0000,0001,0005,
-003,0000,0001,0005,
