delta1,delta2,delta3,delta4
0008,0017,0034,0035,
0008,0017,0034,0035,
0013,0026,0044,0039,
0013,0026,0044,0039,
0013,0026,0044,0039,
0014,0027,0041,0038,
0014,0027,0041,0038,
0014,0027,0041,0038,
0010,0020,0028,0027,
0010,0020,0028,0027,
0010,0020,0028,0027,
0010,0012,0020,0019,
0010,0012,0018,0019,
0010,0012,0018,0019,
0004,0008,0009,0014,
0004,0008,0009,0014,
0004,0008,0009,0014,
0001,0003,0007,0009,
0001,0003,0007,0009,
0001,0003,0007,0009,
-002,0002,0006,0003,
-002,0002,0006,0003,
-002,0002,0006,0003,
0000,0006,0006,0007,
0000,0006,0006,0007,
0000,0006,0006,0007,
-002,-002,0003,0004,
-002,-002,0003,0004,
-002,-002,0003,0004,
0005,0004,0010,0006,
