delta1,delta2,delta3,delta4
0015,0016,0036,0033,
0015,0016,0036,0033,
0017,0024,0041,0039,
0017,0024,0041,0039,
0017,0024,0041,0039,
0017,0023,0041,0036,
0017,0023,0041,0036,
0017,0023,0041,0036,
0011,0022,0030,0031,
0011,0022,0030,0031,
0011,0022,0030,0031,
0009,0011,0023,0020,
0009,0011,0022,0020,
0009,0011,0022,0020,
0007,0011,0011,0018,
0007,0011,0011,0018,
0007,0011,0011,0018,
0003,0002,0004,0008,
0003,0002,0004,0008,
0003,0002,0004,0008,
0004,0003,0003,0002,
0004,0003,0003,0002,
0004,0003,0003,0002,
0003,0000,0004,0003,
0003,0000,0004,0003,
0003,0000,0004,0003,
0004,0004,0003,0006,
0004,0004,0003,0006,
0004,0004,0003,0006,
0005,0000,0007,0004,
