delta1,delta2,delta3,delta4
0009,0025,0034,0040,
0009,0025,0034,0040,
0016,0032,0046,0046,
0016,0035,0046,0046,
0016,0035,0046,0046,
0018,0027,0042,0038,
0018,0027,0041,0038,
0018,0027,0041,0038,
0010,0023,0022,0025,
0010,0023,0022,0025,
0010,0023,0022,0025,
0007,0013,0012,0015,
0007,0013,0012,0015,
0006,0012,0011,0014,
-001,0004,0005,0009,
-001,0004,0005,0009,
-001,0004,0005,0009,
0004,0001,0006,0000,
0004,0001,0006,0000,
0004,0001,0006,0000,
0002,0003,0006,0000,
0002,0005,0006,0000,
0002,0005,0006,0000,
-003,-001,0002,-001,
-003,-001,0002,-001,
-003,-001,0002,-001,
0001,0002,0004,0001,
0001,0002,0004,0001,
0001,0002,0004,0001,
-001,0001,0000,0001,
