delta1,delta2,delta3,delta4
0011,0017,0027,0031,
0011,0017,0027,0031,
0017,0025,0041,0040,
0017,0025,0041,0040,
0017,0025,0041,0040,
0021,0028,0048,0042,
0021,0028,0048,0042,
0021,0028,0048,0042,
0018,0029,0042,0041,
0018,0029,0041,0041,
0018,0029,0041,0041,
0018,0021,0029,0030,
0018,0021,0029,0030,
0018,0021,0029,0030,
0007,0012,0011,0018,
0007,0012,0011,0018,
0007,0012,0011,0018,
0005,0003,0006,0005,
0005,0003,0006,0005,
0005,0003,0006,0005,
0006,0003,0006,0004,
0006,0003,0006,0004,
0006,0003,0006,0004,
0005,0000,0006,0000,
0005,0000,0005,0000,
0005,0000,0005,0000,
0003,-001,0001,0001,
0003,-001,0001,0001,
0003,-001,0001,0001,
0004,-001,-002,0001,
