delta1,delta2,delta3,delta4
0013,0026,0041,0043,
0013,0028,0041,0043,
0023,0037,0054,0053,
0025,0041,0054,0053,
0025,0041,0054,0053,
0026,0038,0052,0052,
0026,0038,0051,0052,
0026,0038,0051,0052,
0020,0030,0043,0045,
0020,0030,0043,0045,
0020,0030,0043,0045,
0019,0024,0032,0032,
0019,0024,0032,0032,
0019,0024,0032,0032,
0010,0015,0019,0025,
0010,0015,0019,0024,
0010,0015,0019,0024,
0007,0010,0010,0019,
0007,0010,0010,0019,
0007,0010,0010,0019,
0006,0009,0009,0010,
0006,0009,0009,0010,
0006,0009,0009,0010,
0006,0002,0003,0007,
0006,0002,0003,0007,
0006,0002,0003,0007,
0007,0006,0013,0007,
0007,0006,0013,0007,
0007,0006,0013,0007,
0006,0004,0007,0003,
