delta1,delta2,delta3,delta4
0006,0015,0017,0026,
0006,0015,0017,0026,
0008,0015,0023,0021,
0008,0015,0023,0021,
0008,0015,0023,0021,
0010,0015,0022,0023,
0010,0015,0022,0023,
0010,0015,0022,0023,
0005,0013,0013,0018,
0005,0013,0013,0018,
0005,0013,0013,0018,
0002,0010,0011,0011,
0002,0010,0009,0011,
0002,0010,0009,0011,
-001,0006,0004,0008,
-001,0005,0004,0008,
-001,0005,0004,0008,
-002,-002,0000,0003,
-002,-002,0000,0003,
-002,-002,0000,0003,
0002,0003,0002,0003,
0002,0003,0002,0003,
0002,0003,0002,0003,
0002,0002,0006,0004,
0002,0002,0006,0004,
0002,0002,0006,0004,
0001,0000,0001,0001,
0001,0000,0001,0001,
0001,0000,0001,0001,
0003,-001,0001,0000,
