delta1,delta2,delta3,delta4
0015,0021,0035,0040,
0015,0021,0035,0040,
0016,0025,0046,0047,
0016,0025,0046,0047,
0016,0025,0046,0047,
0019,0030,0047,0043,
0019,0030,0047,0043,
0019,0030,0047,0043,
0015,0021,0032,0031,
0015,0021,0032,0031,
0015,0021,0032,0031,
0007,0018,0017,0022,
0007,0014,0017,0022,
0007,0014,0017,0022,
0006,0007,0008,0012,
0006,0007,0008,0012,
0006,0007,0008,0012,
0001,0003,0003,0006,
0001,0003,0003,0006,
0001,0003,0003,0006,
0005,-004,0006,0004,
0005,-004,0006,0004,
0005,-004,0006,0004,
0003,0002,0010,0002,
0003,0002,0010,0002,
0003,0002,0010,0002,
-001,0005,0003,0005,
-001,0003,0003,0005,
-001,0003,0003,0005,
0003,0001,0005,0003,
