delta1,delta2,delta3,delta4
0016,0019,0036,0034,
0016,0019,0036,0034,
0016,0023,0040,0034,
0016,0023,0038,0034,
0016,0023,0038,0034,
0011,0019,0027,0025,
0011,0019,0024,0025,
0011,0019,0024,0025,
0006,0010,0015,0017,
0006,0008,0015,0017,
0006,0008,0015,0017,
0003,0004,0007,0007,
0003,0004,0007,0007,
0003,0004,0007,0007,
0001,0003,0006,0007,
0001,0003,0006,0007,
0001,0003,0006,0007,
0002,0003,0002,0003,
0002,0003,0002,0003,
0002,0003,0002,0003,
0002,0000,-003,0000,
0002,0000,-003,0000,
0002,0000,-003,0000,
0005,0000,0003,0004,
0006,0000,0003,0004,
0006,0000,0003,0004,
0004,0000,0002,0003,
0004,0000,0002,0003,
0004,0000,0002,0003,
0003,-001,0001,-004,
