delta1,delta2,delta3,delta4
0002,0002,0035,0068,
0001,0002,0035,0068,
0001,0002,0035,0068,
0001,0003,0034,0067,
0002,0002,0034,0067,
0001,0001,0033,0066,
0001,0000,0032,0069,
0002,0000,0032,0071,
0002,0000,0032,0071,
-002,-001,0033,0072,
-002,-001,0033,0069,
-002,-001,0033,0069,
0000,0002,0031,0069,
0003,0003,0031,0070,
0003,0003,0031,0070,
0003,0003,0035,0069,
0003,0003,0035,0069,
0003,0003,0035,0069,
0001,0001,0033,0067,
0001,0001,0033,0067,
0001,0001,0033,0067,
0001,0002,0032,0066,
0001,0002,0032,0066,
0001,0002,0032,0066,
0001,-001,0031,0069,
0001,-001,0031,0069,
0001,-001,0031,0069,
0001,0000,0033,0066,
0001,-001,0033,0066,
0001,-001,0033,0066,
