delta1,delta2,delta3,delta4
0007,0007,0039,0068,
0007,0008,0038,0065,
0007,0008,0038,0065,
0006,0007,0037,0064,
0005,0007,0040,0069,
0005,0007,0040,0069,
0005,0007,0040,0069,
0005,0008,0034,0065,
0006,0008,0034,0065,
0006,0008,0034,0065,
0004,0005,0039,0065,
0004,0005,0039,0065,
0004,0005,0039,0065,
0004,0005,0039,0066,
0004,0005,0039,0065,
0004,0005,0039,0065,
0006,0007,0041,0065,
0006,0008,0041,0067,
0006,0008,0041,0067,
0006,0008,0034,0065,
0006,0008,0034,0065,
0006,0008,0034,0065,
0005,0008,0037,0063,
0005,0009,0037,0063,
0005,0009,0037,0063,
0008,0009,0037,0065,
0008,0008,0037,0066,
0008,0008,0037,0066,
0008,0008,0034,0067,
0007,0007,0034,0067,
