delta1,delta2,delta3,delta4
0000,0002,0029,0066,
0000,0002,0032,0065,
0003,0002,0032,0065,
0003,0002,0032,0065,
0001,0000,0035,0065,
0000,0000,0035,0065,
0000,0000,0035,0065,
0000,0000,0031,0065,
0001,0001,0031,0065,
0001,0001,0031,0065,
0001,0000,0033,0068,
0002,0000,0033,0068,
0002,0000,0033,0068,
0002,0003,0031,0064,
0002,0001,0031,0064,
0002,0001,0031,0064,
0001,0001,0029,0068,
0001,0001,0029,0068,
0001,0001,0029,0068,
-001,0002,0033,0071,
-001,0002,0034,0071,
-001,0002,0034,0071,
0003,0002,0032,0067,
0001,0000,0032,0067,
0001,0000,0032,0067,
0000,0000,0035,0069,
0000,-002,0035,0069,
0000,-002,0035,0069,
0001,-002,0030,0065,
0002,0001,0030,0065,
