delta1,delta2,delta3,delta4
0001,0000,0009,0041,
0001,0000,0009,0041,
0001,0000,0009,0041,
0002,0002,0014,0043,
0002,0002,0014,0043,
0002,0002,0014,0043,
-001,0004,0009,0043,
-001,0004,0009,0043,
-001,0004,0009,0043,
0001,0004,0010,0041,
0001,0004,0010,0041,
0001,0004,0010,0041,
0002,0002,0009,0034,
0003,0002,0009,0034,
0003,0002,0009,0034,
0001,0004,0009,0032,
-001,0002,0007,0030,
-001,0002,0007,0030,
-001,0001,0007,0030,
0000,-001,0008,0030,
0000,-001,0008,0030,
0001,-001,0004,0028,
0000,0001,0004,0024,
0000,0001,0004,0024,
-001,-003,-002,0013,
-001,-003,-002,0013,
-001,-003,-002,0013,
0000,-002,-001,0016,
0000,-002,-001,0018,
0000,-002,-001,0018,
