delta1,delta2,delta3,delta4
0000,-001,0021,0047,
0000,0000,0024,0045,
0000,-001,0024,0041,
0000,-001,0024,0041,
0001,-001,0019,0041,
0001,-001,0019,0041,
0001,0000,0019,0041,
0000,0003,0016,0040,
0000,-001,0016,0039,
0000,-001,0016,0039,
0002,-001,0018,0039,
0003,0003,0018,0040,
0003,0003,0018,0040,
0003,0001,0019,0042,
0001,0001,0019,0041,
0001,0001,0019,0041,
0001,0003,0017,0041,
0002,0003,0017,0043,
0002,0003,0017,0043,
0001,0003,0018,0040,
0001,0003,0018,0040,
0001,0003,0018,0040,
0002,0000,0019,0043,
0002,0000,0019,0043,
0002,0000,0019,0043,
0002,0001,0020,0045,
0003,0002,0020,0045,
0003,0002,0020,0045,
0003,0002,0021,0046,
0003,0003,0021,0046,
